tweet,polarity,subjectivity
"['seattle', 'seahawks', 'rb', 'marshawn', 'lynch', 'chills', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', 'xlix']",0.3333333333333333,0.6666666666666666
"['seattle', 'seahawks', 'rb', 'marshawn', 'lynch', 'chills', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', 'xlix']",0.3333333333333333,0.6666666666666666
"['seattle', 'seahawks', 'rb', 'marshawn', 'lynch', 'chills', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', 'xlix']",0.3333333333333333,0.6666666666666666
"['seattle', 'seahawks', 'rb', 'marshawn', 'lynch', 'chills', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', 'xlix']",0.3333333333333333,0.6666666666666666
"['i', 'could', 'watch', 'marshawn', 'lynch', 'interviews', 'all', 'day']",0.0,0.0
"['/', '9', 'in', 'the', 'box', '.', 'rt', '""', ':', 'retweet', 'if', 'you', 'think', 'marshawn', 'lynch', ""would've"", 'gotten', 'in', '""']",0.0,0.0
"['key', '&', 'peele', 'super', 'bowl', 'special', '-', 'marshawn', 'lynch', 'and', 'richard', ""sherman's"", 'joint', 'press', 'conference']",0.23015873015873015,0.746031746031746
"[""i'm"", 'still', 'hurt', 'bout', 'that', 'game', 'yesterday', '.', ""ain't"", 'no', 'way', 'in', 'hell', 'you', ""don't"", 'give', 'marshawn', 'lynch', 'the']",-0.4,0.4
"['seahawks', 'must', 'extend', 'marshawn', 'lynch', ',', 'but', ""can't"", 'make', 'him', 'a', 'salary-cap', 'anchor']",0.0,0.0
"['i', 'wonder', 'if', 'pete', 'carroll', 'is', 'holding', 'up', 'in', 'his', 'house', 'like', 'walter', 'white', 'waiting', 'for', 'an', 'axe', 'wielding', 'marshawn', 'lynch']",0.0,0.0
"['is', 'a', 'legit', 'mvp', 'candidate', 'every', 'year', '.', 'most', 'underrated', 'player', '.', 'i', 'wonder', 'what', 'offense', 'will', 'look', 'like', 'without', 'him']",0.5,0.5
"['damnn', 'i', 'just', 'heard', 'seahawks', 'coach', 'didnt', 'run', 'it', 'cause', 'he', 'wanted', 'russell', 'wilson', 'to', 'be', 'mvp', 'not', 'marshawn', 'lynch', '.', 'smh', 'if', 'thats', 'true']",0.35,0.65
"['the', 'conspiracy', 'that', 'pete', 'carroll', 'changed', 'a', 'run', 'play', 'to', 'a', 'pass', 'play', 'so', 'russell', 'wilson', 'would', 'win', 'mvp', 'over', 'marshawn', 'lynch', 'is', 'beyond', 'idiotic']",0.06666666666666671,0.6166666666666667
"['why', 'are', 'people', 'saying', 'marshawn', 'lynch', 'is', 'the', 'best', 'rb', 'in', 'the', 'league', '?', 'cuz', ""he's"", 'not', '.', 'demarco', 'murray', '&', ""le'veon"", 'bell', 'both', 'had', 'better', 'seasons', '.']",0.75,0.4
"['marshawn', 'lynch', 'and', 'richard', 'sherman', 'talk', 'movies', ':', 'biscuits', 'and', 'gravy', ',', 'yall']",0.0,0.0
"['emmanuel', '&', 'phillip', 'hudson', '-', 'marshawn', 'lynch', 'parody', 'pt', '.', ':']",0.0,0.0
"['lol', 'girl', 'they', 'look', 'nothing', 'alike', '.', 'marshawn', 'lynch', 'would', 'cuss', 'you', 'out', 'for', 'that', 'one']",0.8,0.7
"[':', 'marshawn', 'lynch', 'been', 'doing', 'this', 'all', 'year', ',', 'yet', 'you', 'still', 'try', 'to', 'throw', '...']",0.0,0.0
"[':', 'marshawn', 'lynch', 'been', 'doing', 'this', 'all', 'year', ',', 'yet', 'you', 'still', 'try', 'to', 'throw', '...']",0.0,0.0
"[""va's"", 'intel', ':', 'marshawn', 'lynch', 'hung', 'out', 'with', 'snoop', 'dogg', 'after', 'the', 'super', 'bowl']",0.3333333333333333,0.6666666666666666
[],0.0,0.0
"['what', 'in', 'the', 'world', 'was', 'pete', 'carroll', 'thinking', 'not', 'giving', 'marshawn', 'lynch', 'the', 'ball', '.']",0.0,0.0
"['democracy', ""now's"", 'ridiculous', 'marshawn', 'lynch', 'conspiracy', 'theory', 'reminds', 'us', 'all', 'that', 'sometimes', 'even', 'smart', 'people', 'are', 'completely', 'full', 'of', 'shit', '.']",0.007738095238095231,0.7482142857142857
"['marshawn', 'lynch', 'kicked', 'it', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', '(', 'photos', ')']",0.3333333333333333,0.6666666666666666
"['can', 'someone', 'put', 'a', 'bounty', 'on', 'marshawn', ""lynch's"", 'head', '?']",0.0,0.0
"['marshawn', 'lynch', 'is', 'my', 'son', '&', 'uncle', '.']",0.0,0.0
"['seattle', 'seahawks', 'rb', 'marshawn', 'lynch', 'chills', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', 'xlix']",0.3333333333333333,0.6666666666666666
"['russell', 'wilson', 'why', 'did', 'you', 'not', 'pass', 'the', 'to', 'marshawn', 'lynch', '.', 'we', 'could', 'have', 'won']",0.0,0.0
"['mannnnn', ',', 'some', 'of', 'this', 'shit', 'got', 'me', 'toooo', 'weak', '...']",-0.2875,0.7125
"[':', 'marshawn', 'lynch', 'had', 'previous', 'runs', 'from', 'the', 'this', 'season', 'and', 'had', 'scored', 'only', 'touchdown', '.']",-0.08333333333333333,0.5833333333333334
"['""', ':', 'marshawn', 'lynch', 'was', 'for', 'this', 'season', 'rushing', 'from', 'the', '-', 'yard', 'line', '.', '""', 'why', 'not', 'try', 'for', '?']",0.0,0.0
"['seahawks', 'fan', 'uses', ""'"", 'madden', ""'"", 'to', 'show', 'marshawn', 'lynch', 'could', 'have', 'won', 'super', 'bowl', 'xlix', 'via']",0.3333333333333333,0.6666666666666666
"['polmico', ',', 'marshawn', 'lynch', 'chega', 'no', 'vestirio', 's', 'risadas', 'aps', 'vice', '-', 'via']",0.0,0.0
[],0.0,0.0
"['marshawn', 'lynch', '-', 'raw', 'interview', '-', 'no', 'edits']",-0.23076923076923078,0.46153846153846156
"['marshawn', 'lynch', '-', 'raw', 'interview', '-', 'no', 'edits']",-0.23076923076923078,0.46153846153846156
"['marshawn', 'lynch', 'and', 'rob', 'gronkowski', 'play', '""', 'mortal', 'kombat', 'x', '""', 'with', 'conan', ""o'brien""]",0.0,0.0
"[':', 'marshawn', 'lynch', 'hung', 'out', 'with', 'snoop', 'dogg', 'after', 'the', 'super', 'bowl']",0.3333333333333333,0.6666666666666666
"['marshawn', 'lynch', 'and', 'richard', 'sherman', 'talk', 'movies']",0.0,0.0
"['hi', '.', 'rt', ':', 'i', 'got', 'called', 'marshawn', 'lynch', 'and', 'richard', 'sherman', 'in', 'the', 'same', 'fuckin', 'day', '.', 'just', 'my', 'luck', 'huh']",0.0,0.125
"['bruhhh', 'im', 'still', 'happy', 'asl', 'they', ""didn't"", 'give', 'marshawn', 'lynch', 'the', 'ball', 'yesterday']",0.8,1.0
"[""it's"", 'not', 'right', 'at', 'all', 'what', 'they', 'did', 'to', 'you', 'its', 'just', 'not', 'kept', 'being', 'you', 'nso']",-0.14285714285714285,0.5357142857142857
"['marshawn', ""lynch's"", 'oakland', 'roots']",0.0,0.0
"['lmaort', ':', 'marshawn', 'lynch', 'kicked', 'it', 'with', 'snoop', 'dogg', 'after', 'the', 'super', 'bowl', 'last', 'night', ':']",0.16666666666666666,0.36666666666666664
"['yall', 'some', 'real', 'fags', 'wit', 'a', 'russell', 'wilson', 'jersey', 'get', 'you', 'a', 'marshawn', 'lynch', 'jersey', 'instead']",0.2,0.30000000000000004
"[':', 'have', 'you', 'seen', 'this', 'video', 'of', 'and', 'discussing', 'their']",0.0,0.0
"['when', 'you', 'have', 'marshawn', 'lynch', 'and', 'run', 'the', 'ball', 'on', 'nd', '&', 'goal']",0.0,0.0
